代码,名称,2018名次,2017名次,2016名次,2015名次
2860,上海海事大学,6301,5214,5172,5639
2865,重庆交通大学,8565,8606,8904,9569
2870,天津理工大学,11698,15767,null,null
2875,上海海洋大学,7122,7706,7643,8066
2875,上海海洋大学(较高收费),7823,9622,9736,10891
2880,常州大学,10474,9885,9736,9865
2885,华东交通大学,10192,10963,14350,6091
2890,重庆工商大学,7332,6069,5931,6091
2895,武汉工程大学,9342,9622,10896,null
2905,三峡大学,11428,12434,14756,null
2910,四川外国语大学,4718,4738,4672,5003
2915,西安石油大学,14018,null,null,null
2920,山西财经大学,8825,7281,7401,6770
2925,上海立信会计金融学院,3596,3421,3181,null
2930,广东工业大学,9905,null,null,null
3020,西南民族大学,8565,9622,11579,null
3040,上海电力学院,10474,11236,12161,null
3175,北京印刷学院,9086,9122,8367,7519
3200,天津科技大学,9905,12740,null,null
3240,天津商业大学,7823,7077,6721,7284
3280,河北师范大学,13302,null,null,null
3400,山西中医药大学,9342,null,null,null
3530,大连工业大学,17091,null,null,null
3595,大连外国语大学,6485,6463,7401,null
3690,吉林财经大学,11428,13743,null,null
3690,吉林财经大学(较高收费),14785,18137,null,null
3695,黑龙江大学,10192,11522,14756,null
3725,哈尔滨商业大学,10474,10436,10566,10891
3815,上海应用技术大学,11112,12138,13557,null
3890,苏州科技大学,12983,null,null,null
4040,湖州师范学院,21887,null,null,null
4055,杭州师范大学,6485,6877,7643,8341
4060,浙江工商大学,4423,4566,4864,7029
4065,浙江财经大学,7823,9885,null,null
4100,安徽师范大学,13302,null,null,null
4195,福建农林大学,10474,12740,11237,10556
4200,福建医科大学,21437,null,null,null
4205,福建师范大学,7122,7706,8635,9237
4260,江西师范大学,11698,null,null,null
4275,东华理工大学,13662,16145,12809,null
4345,南昌工程学院,20054,null,null,null
4350,济南大学,7575,7926,8635,9569
4370,山东理工大学,12983,16519,null,null
4395,山东师范大学,8825,9122,9467,9237
4400,曲阜师范大学,15581,null,null,null
4415,山东建筑大学,17500,null,null,null
4485,山东财经大学,9905,null,6515,7029
4550,湖北工业大学,10192,11236,11579,12314
4550,湖北工业大学(较高收费),16708,null,null,null
4575,武汉纺织大学,11428,13099,14350,null
4700,湖南农业大学,11428,12138,11579,11602
4735,湖南工业大学,14018,17731,null,null
4775,湖南商学院,12983,null,null,null
4890,北京师范大学-香港浸会大学联合国际学院,11428,15055,14756,12687
5010,海南师范大学,21437,null,null,null
5035,重庆理工大学,9633,8153,8904,9237
5055,重庆师范大学,9342,10156,12809,null
5080,四川师范大学,9086,10156,12809,null
5095,成都信息工程大学,10788,13743,null,null
5100,西华大学,10192,11522,12809,null
5230,昆明理工大学,9905,10686,8635,12314
5410,西北师范大学,13662,null,null,null
5590,成都学院,13302,17348,null,null
5595,上海电机学院,19215,null,null,null
5610,上海政法学院,6485,6877,7152,7284
5995,郑州大学(中外合作办学),9086,12740,14350,12687
6000,郑州大学,4254,4432,4492,4256
6005,河南大学,9086,8606,8367,8066
6009,河南大学(中外合作办学),18319,18951,14756,12687
6010,河南农业大学,19215,17348,12809,11248
6012,河南农业大学(中外合作办学),32212,null,null,null
6015,河南中医药大学,21887,17348,14756,null
6020,新乡医学院,21887,18951,null,null
6025,河南科技学院,32212,null,null,null
6030,河南师范大学,16708,15767,11579,10556
6075,南阳理工学院,21437,null,null,null
6080,河南财经政法大学,11112,10963,10896,9237
6080,河南财经政法大学(较高收费),14401,16145,14756,12687
6085,河南科技大学,17500,14369,12809,11602
6090,郑州航空工业管理学院,20054,16933,null,null
6095,华北水利水电大学,18319,16145,11867,null
6100,河南理工大学,20481,18518,13160,10891
6105,河南工业大学,17891,16933,12510,11248
6110,郑州轻工业学院,21437,18518,null,null
6115,中原工学院,21437,17731,14756,null
6117,中原工学院(软件类),21887,null,null,null
6603,浙江大学宁波理工学院,18786,null,null,null
6823,浙江大学城市学院,15188,null,null,null
